time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-06 00:00:00+00:00,14,8,1.0,1.0
2025-11-07 00:00:00+00:00,23,6,2.0,2.0
2025-11-08 00:00:00+00:00,3,3,1.0,1.0
2025-11-09 00:00:00+00:00,7,6,,
2025-11-10 00:00:00+00:00,15,7,5.0,3.0
2025-11-11 00:00:00+00:00,9,4,2.0,2.0
2025-11-12 00:00:00+00:00,15,5,,
2025-11-13 00:00:00+00:00,7,5,2.0,2.0
2025-11-14 00:00:00+00:00,7,6,3.0,3.0
2025-11-15 00:00:00+00:00,6,4,,
2025-11-16 00:00:00+00:00,4,4,,
2025-11-17 00:00:00+00:00,5,4,2.0,2.0
2025-11-18 00:00:00+00:00,6,5,,
