time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-20 00:00:00+00:00,3,3,,
2023-11-21 00:00:00+00:00,4,4,20.0,5.0
2023-11-22 00:00:00+00:00,2,2,12.0,5.0
2023-11-23 00:00:00+00:00,2,2,,
2023-11-24 00:00:00+00:00,2,2,,
2023-11-25 00:00:00+00:00,2,2,2.0,1.0
2023-11-26 00:00:00+00:00,2,2,,
2023-11-27 00:00:00+00:00,4,4,2.0,1.0
2023-11-28 00:00:00+00:00,2,2,1.0,1.0
2023-11-29 00:00:00+00:00,2,2,,
2023-11-30 00:00:00+00:00,3,3,86.0,3.0
2023-12-01 00:00:00+00:00,1,1,,
2023-12-02 00:00:00+00:00,3,2,,
