time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,26,9,1,1
2026-06-10 00:00:00+00:00,11,6,0,0
2026-06-11 00:00:00+00:00,9,4,1,1
2026-06-12 00:00:00+00:00,23,10,0,0
2026-06-13 00:00:00+00:00,21,8,1,1
2026-06-14 00:00:00+00:00,21,6,0,0
2026-06-15 00:00:00+00:00,21,8,1,1
2026-06-16 00:00:00+00:00,15,5,1,1
2026-06-17 00:00:00+00:00,12,8,5,2
2026-06-18 00:00:00+00:00,19,5,1,1
2026-06-19 00:00:00+00:00,27,7,0,0
2026-06-20 00:00:00+00:00,53,14,0,0
2026-06-21 00:00:00+00:00,44,11,0,0
2026-06-22 00:00:00+00:00,42,9,0,0
