time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-27 00:00:00+00:00,3,2,,
2025-09-28 00:00:00+00:00,3,2,,
2025-09-29 00:00:00+00:00,3,2,16.0,3.0
2025-09-30 00:00:00+00:00,8,7,1.0,1.0
2025-10-01 00:00:00+00:00,10,8,2.0,2.0
2025-10-02 00:00:00+00:00,1,1,7.0,2.0
2025-10-03 00:00:00+00:00,8,7,2.0,2.0
2025-10-04 00:00:00+00:00,6,5,1.0,1.0
2025-10-05 00:00:00+00:00,5,4,,
2025-10-06 00:00:00+00:00,10,9,15.0,2.0
2025-10-07 00:00:00+00:00,7,6,1.0,1.0
2025-10-08 00:00:00+00:00,7,5,,
2025-10-09 00:00:00+00:00,7,7,3.0,2.0
2025-10-10 00:00:00+00:00,2,2,1.0,1.0
