time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-27 00:00:00+00:00,6,5,7.0,1.0
2025-07-28 00:00:00+00:00,5,5,1.0,1.0
2025-07-29 00:00:00+00:00,3,2,6.0,3.0
2025-07-30 00:00:00+00:00,5,4,,
2025-07-31 00:00:00+00:00,3,2,3.0,1.0
2025-08-01 00:00:00+00:00,5,4,,
2025-08-02 00:00:00+00:00,1,1,,
2025-08-03 00:00:00+00:00,8,3,1.0,1.0
2025-08-04 00:00:00+00:00,11,8,7.0,3.0
2025-08-05 00:00:00+00:00,5,4,,
2025-08-06 00:00:00+00:00,2,2,1.0,1.0
2025-08-07 00:00:00+00:00,5,4,4.0,2.0
2025-08-08 00:00:00+00:00,5,4,,
2025-08-09 00:00:00+00:00,2,1,1.0,1.0
