time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-17 00:00:00+00:00,1,1,10.0,5.0
2023-01-18 00:00:00+00:00,7,5,,
2023-01-19 00:00:00+00:00,2,2,3.0,2.0
2023-01-20 00:00:00+00:00,1,1,6.0,4.0
2023-01-21 00:00:00+00:00,1,1,1.0,1.0
2023-01-22 00:00:00+00:00,2,2,,
2023-01-23 00:00:00+00:00,26,4,,
2023-01-24 00:00:00+00:00,2,2,7.0,6.0
2023-01-25 00:00:00+00:00,4,2,,
2023-01-26 00:00:00+00:00,5,3,4.0,4.0
2023-01-27 00:00:00+00:00,4,2,7.0,4.0
2023-01-28 00:00:00+00:00,5,3,,
2023-01-29 00:00:00+00:00,5,4,1.0,1.0
2023-01-30 00:00:00+00:00,1,1,,
