time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-29 00:00:00+00:00,4.0,3.0,30.0,1.0
2024-06-30 00:00:00+00:00,2.0,1.0,,
2024-07-01 00:00:00+00:00,1.0,1.0,4.0,4.0
2024-07-02 00:00:00+00:00,,,26.0,2.0
2024-07-03 00:00:00+00:00,,,41.0,3.0
2024-07-04 00:00:00+00:00,1.0,1.0,2.0,2.0
2024-07-05 00:00:00+00:00,1.0,1.0,19.0,5.0
2024-07-06 00:00:00+00:00,,,2.0,2.0
2024-07-08 00:00:00+00:00,,,14.0,1.0
2024-07-09 00:00:00+00:00,,,30.0,3.0
2024-07-10 00:00:00+00:00,,,55.0,6.0
2024-07-11 00:00:00+00:00,,,2.0,2.0
2024-07-12 00:00:00+00:00,,,52.0,3.0
