time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-27 00:00:00+00:00,4,3,,
2025-11-28 00:00:00+00:00,5,5,,
2025-11-29 00:00:00+00:00,5,4,,
2025-11-30 00:00:00+00:00,5,4,,
2025-12-01 00:00:00+00:00,56,15,,
2025-12-02 00:00:00+00:00,22,8,1.0,1.0
2025-12-03 00:00:00+00:00,107,26,1.0,1.0
2025-12-04 00:00:00+00:00,11,6,,
2025-12-05 00:00:00+00:00,16,11,,
2025-12-06 00:00:00+00:00,7,3,,
2025-12-07 00:00:00+00:00,18,9,,
2025-12-08 00:00:00+00:00,10,5,3.0,2.0
2025-12-09 00:00:00+00:00,19,8,1.0,1.0
2025-12-10 00:00:00+00:00,4,4,4.0,4.0
